id,question_type,question,answer,answer_text,answer_skill,chapter_id,topic,subtopic,stale_risk,tags,options
20190410102520mvltf7ard5b1dnjhzhgvok,true_false,伪造、变造或者使用伪造、变造驾驶证的驾驶人构成犯罪的，将依法追究刑事责任。,A,正确,凡构成犯罪的，都将依法追究刑事责任。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102520p5fcaghsm3u8fatnrx43f8,true_false,车辆识别代号因磨损、锈蚀、事故等原因辨认不清或者损坏的，可以向登记地车辆管理所申请备案。,A,正确,凡是机动车相关的，都找登记地。,2,law,vehicle-registration,low,chapter:2;登记,正确 | 错误
20190410102520wdjaqmfwno7zz3ejrjak9y,true_false,驾驶机动车遇前方交叉路口交通阻塞时，路口内无网状线的，可停在路口内等候。,B,错误,路口内情况复杂，禁止停车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102520dknfcdawiuj9lgnjo9unfa,true_false,在这种情况下可以借右侧公交车道超车。,B,错误,超车要从左侧超车，且公交车道不可占用。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
2019041010252012i7vrwk88s7cg32pahqec,true_false,在这种情况下可以加速通过人行横道。,B,错误,图中为人行横道，右侧有老人通行，要停车让行，不得加速。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
2019041010252068tj9p9efvoxmyyvkstngg,true_false,机动车在夜间道路上发生故障难以移动时要开启危险报警闪光灯、示廓灯、后位灯。,A,正确,在道路上发生故障，要第一时间开启危险报警闪光灯，警示其它车辆。,14,unknown,unknown,low,chapter:14,正确 | 错误
20190410102520bw8z56pbrvpmp6mz6djjtd,true_false,准驾车型为小型自动挡汽车的，可以驾驶低速载货汽车。,B,错误,准驾车型是小型自动挡汽车，只能驾驶自动挡车型，低速载货汽车属于C3，不可驾驶。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102520jjxyteqquyaj64ukh5yu2g,true_false,图中标注车辆在该地点停车是可以的。,B,错误,图中该车停在距离加油站不足30米处，存在安全隐患，是不允许的。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102520q7sr8psx7sz6unaedg2xxv,true_false,如图所示，通过这个标志的路口时应该减速让行。,B,错误,图中八角形标志内一个“停”字，表示停车让行，应停车让行。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102520esdzgk35fyn6jltog11yjg,true_false,驾驶机动车在没有中心线的城市道路上，最高速度不能超过每小时50公里。,B,错误,没有中心线的城市道路，路面较窄，为避免影响行人与非机动车，最高行驶速度为30km/h。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102520t3ngosic3k2jaxsaukaxi7,true_false,机动车在高速公路上发生故障时，在来车方向50至100米处设置警告标志。,B,错误,高速公路上车辆发生故障，应在车后150米以外设置警告标志。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102520w6mb37xyw2bsjt83sr11vb,true_false,机动车驾驶人的交通违法行为实行累积记分制度，记分周期必须从驾驶人初次领取机动车驾驶证之日起连续计算。,B,错误,累积记分周期并不是一定要从驾驶人初次领取机动车驾驶证之日起连续计算，也可以自初次取得临时机动车驾驶许可之日起累积计算。,2,law,points,low,chapter:2;扣分,正确 | 错误
20190410102520ajj9k9r7ehomtgan21igcy,true_false,驾驶机动车不按交通信号灯指示通行的，一次记6分。,A,正确,驾驶机动车不按交通信号灯指示通行的，一次记6分。,2,law,points,low,chapter:2;扣分,正确 | 错误
20190410102520lxhulcfzzkaymcc27kxg28,true_false,驾驶机动车在沙尘天气条件下行车不用开启前照灯、示廓灯和后位灯。,B,错误,沙尘天气能见度低，不开灯易引发事故。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520ddwggs531ydrfyvadty8jj,true_false,打开机动车车门时，不得妨碍其他车辆和行人通行。,A,正确,任何情况下都不能妨碍交通。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520fjvjvcgpce5gabdctn2fhr,true_false,申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效。,A,正确,考试有贿赂、舞弊行为的，取消考试资格，已通过的考试成绩无效，一年内不得再次申领驾驶证。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102520rlwungf1q7w6fu7uzxqmiy,true_false,如图所示，在前方路口可以掉头。,B,错误,图中前方是无人看守的铁道路口，禁止掉头。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520qxjvhb6lgv9zrp6vrjenhs,true_false,如图所示，当机动车行驶至交叉口时的做法是正确的。,A,正确,图中机动车提前开启了右转向灯，所在车道可右转，且前方为圆形绿灯，所以是可以右转的。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520lkyvdxoupuwuajsdcftkg1,true_false,道路交通事故中，机动车无号牌、检验合格标志、保险标志时，要保护现场并立即报警。,A,正确,发生交通事故，机动车无号牌、无检验合格标志、无保险标志的，应保护现场并立即报警等待交警处理。,14,law,vehicle-registration,low,chapter:14;登记,正确 | 错误
20190410102520ryza3qxnftfagg27u3dvp6,true_false,在交叉路口、隧道内均不能倒车。,A,正确,交叉路口、隧道内禁止倒车。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102520svuw5muspxtmahmxl2usaf,true_false,驾驶机动车在没有交通信号的路口遇到前方车辆缓慢行驶时要依次交替通行。,A,正确,遇前车缓慢行驶，应依次交替通行。,1,unknown,unknown,low,chapter:1,正确 | 错误
2019041010252012svcks4mrxydliuyjgwft,true_false,这辆小型载客汽车进入高速公路行车道的行为是正确的。,B,错误,图中该车压实线行驶，是错误的。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102520eqnhusk18nkebkzv6yxugn,true_false,造成交通事故后逃逸，尚不构成犯罪的，记12分。,B,错误,机动车驾驶人造成致人轻伤以上或者死亡的交通事故后逃逸，尚不构成犯罪的，一次记12分。,2,law,points,low,chapter:2;扣分,正确 | 错误
20190410102520tgl2wmcedwybuxrp2pwopk,true_false,发生交通事故后，当事人故意破坏、伪造现场、毁灭证据的，承担全部责任。,A,正确,发生交通事故，情节恶劣的，驾驶人承担全部责任。,2,unknown,unknown,low,chapter:2,正确 | 错误
20190410102520vblhhhdaneps6shvfokzxs,true_false,驾驶机动车在道路上违反交通安全法规的行为属于违法行为。,A,正确,违反道路交通安全法的行为就是违法行为。,15,unknown,unknown,low,chapter:15,正确 | 错误
20190410102520mnw8toaw96y7ay8nyrhubu,true_false,这个路段可以在非机动车道上临时停车。,B,错误,非机动车道禁止停车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102520xfypybchnmw6y5ksrzdx1s,true_false,正在执行社区戒毒、强制隔离戒毒、社区康复措施，车辆管理所将注销其驾驶证。,A,正确,毒驾（无论是吸毒后，还是戒毒康复期间）一经查获，驾驶证将被注销。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102521lp2vwh6ea9tudjcjs2yngs,true_false,机动车驾驶人联系电话、联系地址等信息发生变化，应当在信息变更后三十日内，向驾驶证核发地车辆管理所备案。,A,正确,机动车驾驶人联系电话、联系地址等信息发生变化的，要在30日内到核发地车管所备案。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102521jurcdvmz4sgmovzc6thhks,true_false,交通标志和交通标线不属于交通信号。,B,错误,交通信号分4类：信号灯、交通标志、交通标线和交警指挥。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102521ff5jewsrukruxfvpqrfhjs,true_false,不要在驾驶室的前后窗范围内悬挂和放置妨碍驾驶人视线的物品。,A,正确,悬挂物品会影响驾驶人的视线，有安全隐患。,1,unknown,unknown,low,chapter:1,正确 | 错误
201904101025214cvruf87pq1gap6tf6dpga,true_false,车辆发生故障而无法移动时，首先应在车辆后方50-150米处放置危险警告标志，防止后车追尾。,B,错误,第一时间应该先开启危险报警闪光灯。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
201904101025212v3ore46gqvwrgqq3ytrqq,true_false,驾驶人驾驶有达到报废标准嫌疑机动车上路的，交通警察依法予以拘留。,B,错误,报废车上路，交警会依法罚款和吊销驾驶证，但不会拘留。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102521qqfdx7dytwqugsx9gohget,true_false,申请人患有精神病的，可以申领机动车驾驶证，但是在发病期间不得驾驶机动车。,B,错误,精神病患者不得申请机动车驾驶证。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102521jjpn9cbxxxqpnp9luwwbeu,true_false,自愿降级的驾驶人需要到车辆管理所申请换领驾驶证。,A,正确,驾驶人自愿降级的，要到车管所申请换证手续。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
201904101025214rp2bysitfrbhpbh4l9jjc,true_false,已经达到报废标准的机动车经大修后可以上路行驶。,B,错误,已达到报废标准的机动车，不能上路行驶。,2,unknown,unknown,low,chapter:2,正确 | 错误
20190410102521nsvt8rk4eqjyfpqfau5seo,true_false,驾驶机动车遇到沙尘、冰雹、雨、雾、结冰等气象条件时应降低行驶速度。,A,正确,天气情况不佳，应减速慢行。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102521u1yjfwjhmdx3rpn3wloynu,true_false,其他车辆不准进入专用车道行驶，其目的是为了不影响专用车的正常通行。,A,正确,专用车道就是给专用车辆行驶的，其他车辆不得占用。,1,unknown,unknown,low,chapter:1,正确 | 错误
2019041010252192ptijk4yzcwphwhxfnzt1,true_false,驾驶机动车应在变更车道的同时开启转向灯。,B,错误,变道都要提前开启转向灯。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102521kgfnqtf7ykf1kescuxzuov,true_false,驾驶机动车与行人之间发生交通事故造成人身伤亡、财产损失的，机动车一方没有过错的，不承担赔偿责任。,B,错误,驾驶机动车与行人发生交通事故，造成人身伤亡、财产损失的，机动车无过错要承担不超过10%的赔偿责任。,2,unknown,unknown,low,chapter:2,正确 | 错误
20190410102521nfwdqvs1pfpdph4q6j4hei,true_false,驾驶机动车违反道路交通安全法律法规发生交通事故属于交通违章行为。,B,错误,违反道路交通安全法律法规就是违法行为。,15,unknown,unknown,low,chapter:15,正确 | 错误
201904101025212rrfahdp66zv5z9wfcxwvk,true_false,驾驶人在驾驶证核发地车辆管理所管辖区以外居住的，可以向居住地车辆管理所申请换证。,A,正确,驾驶人在核发地以外居住的，可在居住地车管所申请换证。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102521xnwzqd3god3cbjuzqopfrc,true_false,如图所示，B车具有优先通行权。,B,错误,图中A车是直行，B车是右转，A车具有优先通行权。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102521pvw4w8nsxgzkmj4nrlsud,true_false,驾驶人的机动车驾驶证被依法扣留、暂扣的情况下不得驾驶机动车。,A,正确,驾驶证丢失、损毁、超过有效期或者被依法扣留、暂扣期间及记分达12分的，都不得驾驶机动车。,2,law,points,low,chapter:2;扣分,正确 | 错误
201904101025217kdpupjzs7ngeeqmzlrpnh,true_false,在这个路口可以掉头。,B,错误,图中前方有禁止左转标志，不能左转，也不能掉头。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
201904101025216pwpafzkffwgwspzl7kpu9,true_false,下列做法是否正确？,B,错误,图中小客车在高速公路公路上发生故障，未由专业救援车、清障车拖曳、牵引，且占用最左侧车道行驶，属于违法行为。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102521ggmnxabgnexmi8bmhhmopw,true_false,驾驶人有使用其他车辆保险标志嫌疑的，交通警察可依法扣留车辆。,A,正确,有使用其他车辆的机动车登记证书、号牌、行驶证、检验合格标志、保险标志嫌疑的，交警可依法扣留车辆。,15,law,points,low,chapter:15;扣分,正确 | 错误
20190410102521eryxlwffpywawbbbi5yf1l,true_false,机动车号牌损毁，机动车所有人要向登记地车辆管理所申请补领、换领。,A,正确,机动车号牌、行驶证灭失、丢失或者损毁的，要向登记地车辆管理所申请补领、换领。,2,law,vehicle-registration,low,chapter:2;登记,正确 | 错误
20190410102521gg3swmibq3qn7hyjx3kdu1,true_false,驾驶机动车行经漫水路或者漫水桥时，应当停车察明水情。,A,正确,行经漫水路或漫水桥，应停车察明水情，确认安全再低速通过。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102521lir5yuqqhgmjr1ywvlqggg,true_false,行至这种情况的铁路道口要停车观察。,A,正确,图中为无人看守的铁路道口，应停车观察确认安全再通过。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
201904101025217ck5niqhptv1jbrwatmpae,true_false,驾驶人违反交通运输管理法规发生重大事故使公私财产遭受重大损失的可能处3年以下徒刑或拘役。,A,正确,发生重大事故，致人重伤、死亡或者使公私财产遭受重大损失的，处三年以下有期徒刑或者拘役。,15,unknown,unknown,low,chapter:15,正确 | 错误
20190410102521kx9efzjbxnj239vapqncxc,true_false,在路口这个位置时可以加速通过路口。,B,错误,看图答题，图中是红灯，应停车等待通行。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102521ytbhktkvs1pt7n7q1mt149,true_false,驾驶机动车在隧道、陡坡等特殊路段不得超车。,A,正确,不具备超车条件的情况下，不得超车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102521qv5esdybs5yjhywaymtdke,true_false,行车中遇到正在进行作业的道路养护车辆、工程作业车时要注意避让。,A,正确,遇正在作业的道路养护车辆、工程作业车，应主动避让。,14,unknown,unknown,low,chapter:14,正确 | 错误
201904101025216ma22pdct412koehm6rbxt,true_false,如图所示，A车在此处停车是可以的。,A,正确,图中A车临时停在距离公交站30米以外的地方，是可以的。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
201904101025218vgzguxsrnshqzaq8axoeh,true_false,酒后驾驶发生重大交通事故被依法追究刑事责任的人不能申请机动车驾驶证。,A,正确,酒驾或醉驾导致重大事故，构成犯罪的，吊销驾驶证，且终生不得重新申请。,15,law,driver-license,low,chapter:15;驾驶证,正确 | 错误
20190410102521s1zxymzygzdqhyk4dqvtw5,true_false,在道路上造成人身伤亡、事故后果非常严重的交通事故，可自行撤离现场。,B,错误,发生严重事故，且有伤亡或有争议的，应立即报警，不可自行撤离。,14,unknown,unknown,low,chapter:14,正确 | 错误
20190410102521dzgameajeyudutqktn1jbr,true_false,已注册登记的机动车，改变机动车车身颜色的应到公安交通管理部门申请变更登记。,A,正确,改变机动车车身颜色，车辆信息发生变化，要申请变更登记。,2,law,vehicle-registration,low,chapter:2;登记,正确 | 错误
20190410102521hrvqq5wwd2y92rdnrcjq6d,true_false,驾驶机动车掉头、转弯、下陡坡时的最高速度不能超过每小时40公里。,B,错误,掉头、转弯、下陡坡车速都不能超30km/h。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102521qsdui5nnsudnb2q79vrjwq,true_false,对使用其他车辆号牌、行驶证的车辆，交通警察可依法予以扣留。,A,正确,使用其他车辆证件，交警可依法扣留车辆。,15,law,points,low,chapter:15;扣分,正确 | 错误
20190410102521n167yljopnekeckjamfbhm,true_false,驾驶机动车在高速公路违法占用应急车道行驶的一次记6分。,A,正确,违法占用高速公路应急车道行驶的，一次记6分。,2,law,points,low,chapter:2;扣分,正确 | 错误
20190410102522szhwrvlu227u9viuqhvtrc,true_false,驾驶机动车在路口右转弯时，应提前开启右转向灯，不受信号灯限制，不受车速限制，迅速通过，防止路口堵塞。,B,错误,遇圆形信号灯，右转才不受灯控，转弯都要减速慢行，不能迅速通过。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102522j5wd9lpujn2fdmprjil5m,true_false,已持有C1/C2准驾车型增加C6准驾车型的，应当考试科目二和科目三安全文明驾驶常识。,A,正确,C1/C2增驾C6，考科目二和科目三安全文明驾驶常识（即俗称的科目四），不用再考路考。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
201904101025229opskhnjdbyqlc3kagz9er,true_false,在这种急弯道路上行车应交替使用远近光灯。,A,正确,驾驶机动车在夜间过急弯，安全视距不足，应交替使用远近光灯示意。,1,unknown,unknown,low,chapter:1,正确 | 错误
201904101025224qmeqkntwkaxhzwggrmhmd,true_false,机动车驾驶人在实习期内有记满12分记录的，注销其实习的准驾车型驾驶资格。,A,正确,实习期内记满12分，就得注销准驾车型驾驶资格，要重新参加考试才可恢复。,2,law,points,low,chapter:2;扣分,正确 | 错误
2019041010252251eycn2av1ddjvbkgwwabh,true_false,持有大型客车、重型牵引挂车、城市公交车、中型客车、大型货车驾驶证的驾驶人从业单位等信息发生变化的，应当在信息变更后三十日内，向驾驶证核发地车辆管理所备案。,B,错误,驾驶人从业单位信息变更的，要在30日内向从业单位所在地车辆管理所备案。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102522jkyfmm9gctf44ycpy2p4j,true_false,如图所示，A车具有优先通行权。,A,正确,图中是无信号灯、无标志标线的交叉路口，A、B车都是直行，A车在B车右侧，具有优先通行权。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102522tampneg6lv7r79rvixm9zu,true_false,驾驶机动车超车后立即开启右转向灯驶回原车道。,B,错误,超车后要拉开足够的安全距离，提前开启右转向灯才能驶回原车道，不能“立即”。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522ftr3tdaij8kc9j4up4qupq,true_false,机动车在道路上发生故障难以移动时要在车后50米以内设置警告标志。,B,错误,应在车后方50-100米处设置警告标志，不是50米内。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102522nekazpyxxzadwfvrydhp6a,true_false,机动车驾驶证有效期分为6年、10年、20年。,B,错误,不存在“20年”的有效期。,2,law,driver-license,low,chapter:2;驾驶证,正确 | 错误
20190410102522alkkhonbnqryz9xubsd6wy,true_false,机动车发生财产损失交通事故，对应当自行撤离现场而未撤离的，交通警察不可以责令当事人撤离现场。,B,错误,发生财产损失交通事故，未自行撤离造成拥堵的，交警可依法责令当事人撤离，并处罚款200元。,14,traffic-signals,signals-signs-markings,low,chapter:14;交通信号,正确 | 错误
20190410102522bigh18gnmll736gztzcagd,true_false,如图所示，驾驶机动车遇前方车流行驶缓慢时，借用公交专用道超车是正确的。,B,错误,图中前方地面有“公交专用”字样，其他车辆不得占用。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522mopjvfytfhcihmretrhess,true_false,服用国家管制的精神药品可以短途驾驶机动车。,B,错误,管制的精神药品会让人意识模糊，驾车上路容易发生事故。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102522jiyzv4awpvttstjaztegvv,true_false,遇到这种情况的路段，可以进入网状线区域内停车等候。,B,错误,网状线区域禁止停车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522bsa9tnvumka93c6sp6jpn,true_false,事故报警时，要向交警提供事故地点、人员伤情、车辆号牌等信息，协助交警快速定位到达现场。,A,正确,提供完备的事故信息，有利于交警快速到位处理。,14,law,vehicle-registration,low,chapter:14;登记,正确 | 错误
20190410102522udjv52ujebv5yqxpr961sk,true_false,使用其他机动车号牌、行驶证的一次记3分。,B,错误,使用其他机动车号牌、行驶证的，将一次记12分。,2,law,points,low,chapter:2;扣分,正确 | 错误
20190410102522ntr8gd7fr4njydngqrdbdr,true_false,在路口右转弯遇同车道前车等候放行信号时，要依次停车等候。,A,正确,右转遇同车道前车等候放行信号，应依次排队等待。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
201904101025223hbjlv5mwweur8powksqyb,true_false,驾驶机动车在道路上掉头时提前开启左转向灯。,A,正确,掉头需要向左转，所以要提前开启左转向灯。,1,unknown,unknown,low,chapter:1,正确 | 错误
201904101025224qaxrsgjw3ladkhc97gzvg,true_false,距离宽度不足4米的窄路50米以内的路段不能停车。,A,正确,宽度不足4米的窄路相对危险，50米内不得停车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522pf3knv76y5ttdi1cszkfup,true_false,已注册登记的机动车，机动车所有人住所在车辆管理所管辖区域内迁移或者机动车所有人姓名（单位名称）、联系方式变更的，应当向登记地车辆管理所备案。,A,正确,凡是机动车相关的，都找登记地。,2,law,vehicle-registration,low,chapter:2;登记,正确 | 错误
20190410102522bwvqwrhdr3toj8cnr4vynd,true_false,机动车行驶中，车上少年儿童可不使用安全带。,B,错误,所有乘车人员都要系好安全带。,3,unknown,unknown,low,chapter:3,正确 | 错误
20190410102522fvrkrlgkdprygst918z1hk,true_false,驾驶机动车时可以向道路上抛撒物品。,B,错误,行车抛物不文明也不安全。,1,unknown,unknown,low,chapter:1,正确 | 错误
20190410102522vzf81aenqxv8furckuenmh,true_false,发生交通事故造成人员受伤时，要保护现场并立即报警。,A,正确,发生事故有人员受伤，应保护现场并立即报警等待处理。,14,unknown,unknown,low,chapter:14,正确 | 错误
2019041010252292ee4ot2s6ysq8c3wnn62r,true_false,年龄在70周岁以上的机动车驾驶人，应当每年进行一次身体检查。,A,正确,70周岁以上的驾驶人属于高龄驾驶员，要每年进行一次体检，检查是否患有妨碍安全驾驶的疾病。,2,unknown,unknown,low,chapter:2,正确 | 错误
20190410102522gyrkqjvz8jutes3i47jobj,true_false,可以从这个位置直接驶入高速公路行车道。,B,错误,图中蓝箭头方向压到了白色导流线，是错误的。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522tf7lpcyuxq678yavbnxxnn,true_false,驾驶人在道路上醉酒驾驶机动车的处3年以上有期徒刑。,B,错误,在道路上醉酒驾驶机动车的，处拘役，并处罚金。,15,unknown,unknown,low,chapter:15,正确 | 错误
20190410102522xrjkfgmsqquwm8uartnk8c,true_false,如图所示，这个标志设置在有人看守的铁路道口，提示驾驶人距有人看守的铁路道口的距离还有100米。,B,错误,图中是标志是火车+两道红色斜杠，表示前方距无人看守的铁道路口还有100米。,1,traffic-signals,signals-signs-markings,low,chapter:1;交通信号,正确 | 错误
20190410102522bw1xmhbe9t84qfer19kngg,true_false,对违法驾驶发生重大交通事故且构成犯罪的，不追究其刑事责任。,B,错误,造成重大事故且构成犯罪的，都将依法追究刑事责任。,15,unknown,unknown,low,chapter:15,正确 | 错误
20190410102522azmfnprh2nvbmwfddabam7,true_false,夜间驾驶机动车在窄路、窄桥会车时正确的做法是使用远光灯。,B,错误,夜间会车不能使用远光灯。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522pzaod49cupn38animvggq9,true_false,驾驶机动车找不到停车位时可以借人行道停放。,B,错误,人行道禁止停车。,1,safe-driving,road-rules,low,chapter:1;安全行车,正确 | 错误
20190410102522dfuroma6qrxg7csmrifalk,true_false,机动车驾驶证遗失、损毁无法辨认时，机动车驾驶人应当向车辆管理所申请补发。,A,正确,根据新规，驾驶证的补领、补发可以到全国任意车管所进行办理。,2,law,driver-license,medium,chapter:2;驾驶证,正确 | 错误
2019041010252251nbs234gspikfzwaqup9d,true_false,驾驶人记分没有达到满分，有罚款尚未缴纳的，记分转入下一记分周期。,A,正确,有罚款未缴纳的，记分会转入下一记分周期。,2,law,points,low,chapter:2;扣分,正确 | 错误
